id,numero,nombre,created_at,updated_at,deleted_at
1,I,"Tuxtla Gutiérrez","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
2,II,"San Cristóbal","2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
3,III,Comitán,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
4,IV,Villaflores,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
5,V,Pichucalco,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
6,VI,Palenque,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
7,VII,Tapachula,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
8,VIII,Tonalá,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
9,IX,Ocosingo,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
10,X,Motozintla,"2018-02-01 11:48:55","2018-02-01 11:48:55",NULL
