rol_id,usuario_id
2,CSSSA000045
2,CSSSA004496
2,CSSSA004595
2,CSSSA004945
2,CSSSA005510
2,CSSSA005773
2,CSSSA006403
2,CSSSA006934
2,CSSSA007074
2,CSSSA007540
2,CSSSA008264
2,CSSSA000412
2,CSSSA009162
2,CSSSA017336
2,CSSSA017341
2,CSSSA017353
2,CSSSA017365
2,CSSSA017370
2,CSSSA017382
2,CSSSA017394
2,CSSSA017406
2,CSSSA017411
2,CSSSA000453
2,CSSSA017504
2,CSSSA017516
2,CSSSA017521
2,CSSSA017726
2,CSSSA017731
2,CSSSA018740
2,CSSSA018752
2,CSSSA018764
2,CSSSA018776
2,CSSSA018781
2,CSSSA000651
2,CSSSA018793
2,CSSSA018875
2,CSSSA019242
2,CSSSA019481
2,CSSSA019645
2,CSSSA019954
2,CSSSAHGREFO
2,JURISMOTO10
2,CSSSA000832
2,CSSSA001030
2,CSSSA001626
2,CSSSA002611
2,CSSSA003265
