id,usuario_id,clues,created_at,updated_at,deleted_at
1,CSSSA000045,CSSSA000045,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
2,CSSSA004496,CSSSA004496,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
3,CSSSA004595,CSSSA004595,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
4,CSSSA004945,CSSSA004945,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
5,CSSSA005510,CSSSA005510,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
6,CSSSA005773,CSSSA005773,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
7,CSSSA006403,CSSSA006403,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
8,CSSSA006934,CSSSA006934,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
9,CSSSA007074,CSSSA007074,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
10,CSSSA007540,CSSSA007540,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
11,CSSSA008264,CSSSA008264,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
12,CSSSA000412,CSSSA000412,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
13,CSSSA009162,CSSSA009162,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
14,CSSSA017336,CSSSA017336,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
15,CSSSA017341,CSSSA017341,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
16,CSSSA017353,CSSSA017353,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
17,CSSSA017365,CSSSA017365,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
18,CSSSA017370,CSSSA017370,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
19,CSSSA017382,CSSSA017382,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
20,CSSSA017394,CSSSA017394,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
21,CSSSA017406,CSSSA017406,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
22,CSSSA017411,CSSSA017411,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
23,CSSSA000453,CSSSA000453,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
24,CSSSA017504,CSSSA017504,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
25,CSSSA017516,CSSSA017516,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
26,CSSSA017521,CSSSA017521,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
27,CSSSA017726,CSSSA017726,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
28,CSSSA017731,CSSSA017731,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
29,CSSSA018740,CSSSA018740,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
30,CSSSA018752,CSSSA018752,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
31,CSSSA018764,CSSSA018764,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
32,CSSSA018776,CSSSA018776,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
33,CSSSA018781,CSSSA018781,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
34,CSSSA000651,CSSSA000651,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
35,CSSSA018793,CSSSA018793,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
36,CSSSA018875,CSSSA018875,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
37,CSSSA019242,CSSSA019242,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
38,CSSSA019481,CSSSA019481,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
39,CSSSA019645,CSSSA019645,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
40,CSSSA019954,CSSSA019954,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
41,CSSSAHGREFO,CSSSAHGREFO,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
42,JURISMOTO10,JURISMOTO10,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
43,CSSSA000832,CSSSA000832,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
44,CSSSA001030,CSSSA001030,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
45,CSSSA001626,CSSSA001626,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
46,CSSSA002611,CSSSA002611,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
47,CSSSA003265,CSSSA003265,2017-05-08 22:32:57,2017-05-08 22:32:57,NULL
